"age","gene_acronym","DPall","MPall","SPall","p2A"
"E13.5","1700010L04Rik",0.0459796,0.0131454,0.014271,0.00826251
"E13.5","2610109H07Rik",8.18418,11.8619,3.6268,8.07603
"E13.5","6330411E07Rik",0.0387736,0.0083412,0.0264425,0.0267692
"E13.5","6330527O06Rik",0.0465197,0.0252068,0.00657372,0.00721624
"E13.5","6330581N18Rik",0.142699,0.0448498,0.0268886,0.0118467
"E13.5","6430573F11Rik",0.105181,0.218777,0.109458,0.0309034
"E13.5","A2m",0.0151408,0.0160801,0.00972272,0.0191935
"E13.5","A930038C07Rik",0.110737,0.0371926,0.0392978,0.156075
"E13.5","Aanat",0.0479193,0.0135052,0.0174744,0.0403884
"E13.5","Aatf",0.835215,0.747519,1.47585,1.49874
"E13.5","Aatk",0.0606697,0.0490859,0.109358,0.05698245
"E13.5","Abat",0.220795,0.322488,2.22747,0.320112
"E13.5","Abca2",0.154324,0.0204354,0.0377841,0.0396039
"E13.5","Abcc1",0.00644979,0.00237166,0.0083876,0.00355701
"E13.5","Abhd4",0.332516,0.105074,0.15992,0.0405242
"E13.5","Abl1",2.98213,2.59969,1.35561,0.727221
"E13.5","Abra",0.00973842,0.00946907,0.0398384,0.00817954
"E13.5","Abt1",4.04281,3.08422,3.81703,2.93688
"E13.5","Abtb1",0.268879,0.111998,0.176526,0.101868
"E13.5","Accn1",0.563044,0.381951,0.341967,0.213065
"E13.5","Accn2",0.0709451,0.0402928,0.112085,0.0412213
"E13.5","Ace",0.0313041,0.0410614,0.0257123,0.0297001
"E13.5","Ache",0.021544,0.0666197,0.0347571,0.0825999
"E13.5","Actb",7.39136,4.82924,3.37196,2.79406
"E13.5","Acvr1",0.14536,0.0691258,0.0381966,0.0502572
"E13.5","Acvr1b",0.318016,0.141722,0.162527,0.0554118
"E13.5","Acvr1c",0.0757058,0.0380489,0.00662695,0.0181746
"E13.5","Acvr2a",0.211833,0.336683,1.31084,0.581915
"E13.5","Acvr2b",0.273292,0.214522,0.147229,0.125459
"E13.5","Acvrl1",0.341754,0.332334,0.259207,0.44023
"E13.5","Adam10",1.25108,1.27888,0.52193,0.774494
"E13.5","Adam17",0.202659,0.142348,0.0443366,0.103265
"E13.5","Adam19",0.252225,0.337115,0.199201,0.154568
"E13.5","Adcy1",0.00966588,0.0136063,0.0173673,0.0098616
"E13.5","Adcy2",0.542225,0.094863,0.105592,0.0304581
"E13.5","Adcy9",0.0230105,0.00597889,0.0234094,0.00364398
"E13.5","Adcyap1",0.0790661,0.0522857,0.037347,0.271998
"E13.5","Adcyap1r1",0.0320398,0.0226017,0.0113605,0.0368542
"E13.5","Adnp",1.29647,1.4233,0.785279,0.719684
"E13.5","Adnp2",2.70301,1.57578,0.592243,0.584085
"E13.5","Adora2a",0.00375002,0.00693742,0.0184563,0.00998923
"E13.5","Adra2a",0.00718286,0.0109086,0.0125422,0.00348172
"E13.5","Adra2b",0.266552,0.117448,0.12014,0.00339191
"E13.5","Adra2c",0.130071,0.0169477,0.00589461,0.0101427
"E13.5","Adrb1",0.0253366,0.00831304,0.00568929,0.00997724
"E13.5","Aebp2",1.54698,1.07426,0.463476,0.509953
"E13.5","Aes",11.4114,6.60502,2.13361,3.22011
"E13.5","Aff3",6.67185,2.1769,0.918597,2.41923
"E13.5","Agrp",0.109812,0.0176987,0.00584131,0.00396477
"E13.5","Agt",0.112682,0.0177651,0.00794188,0.00593655
"E13.5","Agtr1a",0.15735,0.142715,0.148609,0.230121
"E13.5","Ahctf1",0.181944,0.0419339,0.0277232,0.029907
"E13.5","Ahi1",2.07586,3.91617,3.60048,2.8018
"E13.5","Ahr",0.0836495,0.0102854,0.0194122,0.00869157
"E13.5","Akna",1.32324,0.491723,0.805451,0.248529
"E13.5","Akr1c18",0.0404863,0.0148748,0.0293097,0.0129799
"E13.5","Akt1",8.30341,5.16852,2.71108,3.66322
"E13.5","Akt1s1",0.00452026,0.0115249,0.0105268,0.00566333
"E13.5","Alcam",4.59908,1.20005,2.56132,0.297522
"E13.5","Aldh1a1",0.0644706,0.0389284,0.0135987,0.0186546
"E13.5","Aldh1a2",0.18694,0.27371,0.34901,0.169922
"E13.5","Aldh1a3",0.252437,0.133649,0.198642,0.018555
"E13.5","Aldh2",0.493223,0.302327,0.163371,0.155256
"E13.5","Aldh4a1",0.077591,0.215907,0.117387,0.123514
"E13.5","Alk",0.217567,0.0911502,0.031869,0.0247475
"E13.5","Alx1",0.55299,0.115432,1.03798,0.0282823
"E13.5","Alx3",0.0728779,0.067108,0.0868607,0.0282558
"E13.5","Alx4",0.0913397,0.0283864,0.0811123,0.0427046
"E13.5","Amh",0.15953,0.0456335,0.0424364,0.00595084
"E13.5","Amhr2",0.00783916,0.00147621,0.00331829,0.000536827
"E13.5","Amigo1",0.0910011,0.0952176,0.0398435,0.0363492
"E13.5","Amotl1",0.174771,0.0660095,0.0244003,0.0115395
"E13.5","Angpt1",0.94536,0.298518,0.133146,0.0827447
"E13.5","Angpt2",0.295398,0.0615906,0.0466248,0.0545899
"E13.5","Angpt4",0.0379663,0.0085577,0.0077553,0.0144309
"E13.5","Angptl1",0.13016,0.0267187,0.00855985,0.0244979
"E13.5","Angptl2",0.243435,0.285768,0.0616897,0.0470692
"E13.5","Angptl3",0.0858418,0.0811185,0.0502163,0.0685845
"E13.5","Angptl4",0.148131,0.12625,0.0273817,0.10104
"E13.5","Angptl6",0.0659835,0.012785,0.0153327,0.00729846
"E13.5","Angptl7",0.15441,0.0325222,0.0227336,0.0139254
"E13.5","Ank3",11.2624,4.79745,9.06591,6.78636
"E13.5","Anxa11",0.0162558,0.00898475,0.00943324,0.00531572
"E13.5","Anxa2",0.104102,0.0272124,0.0163334,0.0100834
"E13.5","Anxa4",0.0373689,0.0242291,0.0449469,0.0158583
"E13.5","Apba1",0.101377,0.170164,0.0598549,0.0564427
"E13.5","Apba2",2.4879,4.08826,1.76558,1.64092
"E13.5","Apc",1.38294,0.738366,2.13444,0.991696
"E13.5","Apc2",1.42426,1.08417,2.42594,1.97024
"E13.5","Aph1a",0.826812,0.226988,0.0843023,0.0574649
"E13.5","Aph1b",0.120425,0.0779719,0.0357836,0.0144529
"E13.5","Aph1c",7.33395,6.5949,8.95262,7.33468
"E13.5","Aplp1",12.8984,9.57533,13.9446,10.4921
"E13.5","Apod",0.895815,1.16304,0.2431,0.713034
"E13.5","Apoe",2.57362,3.697465,1.656345,2.67806
"E13.5","App",5.04263,4.14072,4.11624,5.87908
"E13.5","Aqp4",0.710653,0.135739,0.0954896,0.0482909
"E13.5","Ar",0.0252055,0.00553683,0.0101343,0.00187663
"E13.5","Arc",0.120773,0.030555,0.0138347,0.0133979
"E13.5","Areg",0.00613426,0.00373575,0.0018377,0.00314992
"E13.5","Arf6",1.97025,2.0044,1.19293,1.08571
"E13.5","Arhgap25",0.0104304,0.0127987,0.0143832,0.0099976
"E13.5","Arhgef25",0.675226,0.615527,0.315966,0.189031
"E13.5","Arid5b",2.1649,2.72077,2.13832,3.10726
"E13.5","Arl10",9.04209,7.08551,5.73066,4.1121
"E13.5","Arnt",0.0362626,0.0298894,0.0244169,0.0250792
"E13.5","Arnt2",1.32134,1.00833,1.93937,2.16465
"E13.5","Arntl",0.0689382,0.0247803,0.027893,0.0304425
"E13.5","Arntl2",0.0476591,0.0345038,0.0131578,0.0119427
"E13.5","Artn",0.0306384,0.00621094,0.0183089,0.0100367
"E13.5","Arvcf",1.06191,2.30458,1.11553,1.51944
"E13.5","Arx",2.080871,2.723995,8.317595,2.251075
"E13.5","Ascl1",0.638939,0.698046,5.611205,0.6232315
"E13.5","Ascl2",0.00955484,0.0107822,0.0129468,0.00696453
"E13.5","Ascl3",0.358592,0.0975261,0.072896,0.0744434
"E13.5","Ascl4",0.0340149,0.022782,0.0315664,0.0284377
"E13.5","Astn1",0.108883,0.0745664,0.101827,0.166708
"E13.5","Astn2",0.385953,0.202058,1.58734,1.29485
"E13.5","Atf1",0.00758231,0.0060402,0.00742828,0.0355331
"E13.5","Atf2",0.513661,0.613833,0.559965,0.217659
"E13.5","Atf3",0.122787,0.0184775,0.0100725,0.00709072
"E13.5","Atf4",4.03035,3.71147,1.55185,1.67099
"E13.5","Atf6",0.10908,0.0819721,0.0724241,0.0416794
"E13.5","Atf6b",0.146802,0.171006,0.0818221,0.0559262
"E13.5","Atoh1",0.147427,0.0385271,0.0344481,0.0152697
"E13.5","Atoh7",0.00797349,0.00679305,0.00824929,0.00773103
"E13.5","Atp1a1",0.216121,0.767968,0.440596,0.895725
"E13.5","Atp1a2",2.4267,2.33546,1.28752,4.06721
"E13.5","Atp1b2",0.656729,0.531247,0.618124,0.64978
"E13.5","Atxn1",0.032486,0.0146699,0.0446426,0.0148897
"E13.5","Avp",0.1908355,0.01807835,0.00730225,0.00572928
"E13.5","Avpr1a",0.145739,0.0480819,0.0129647,0.00568851
"E13.5","Avpr1b",0.0174202,0.0314014,0.00817631,0.0338486
"E13.5","Avpr2",0.104935,0.0123211,0.0178171,0.0089376
"E13.5","Axin1",1.51311,1.44794,0.539573,0.792084
"E13.5","Axin2",0.809767,4.13762,0.194113,2.15101
"E13.5","Axl",0.429664,0.557227,0.23009,0.528396
"E13.5","B3galt2",0.0450352,0.0317194,0.117262,0.089833
"E13.5","B3gat2",0.121545,0.0337774,0.0083776,0.0240693
"E13.5","B3gnt2",0.0647825,0.065141,0.0427613,0.0732245
"E13.5","Bach1",0.182829,0.0281966,0.0839664,0.0176814
"E13.5","Bach2",1.42393,2.82702,1.1868,0.798746
"E13.5","Baiap3",0.0189886,0.0134672,0.0675063,0.00775111
"E13.5","Bambi",0.0224295,0.0141754,0.028945,0.0167646
"E13.5","Barhl1",0.2481465,0.0249034,0.0280287,0.12959195
"E13.5","Barhl2",7.14999,6.47037,3.37776,8.40953
"E13.5","Barx1",0.172092,0.0507749,0.0684111,0.0199912
"E13.5","Barx2",0.0806363,0.0263163,0.0366583,0.0121882
"E13.5","Batf2",2.55031,2.58662,3.36382,0.328873
"E13.5","Bbx",0.269189,0.139902,0.0728993,0.0696546
"E13.5","Bcan",0.331091,4.16758,0.590783,1.08044
"E13.5","Bcar1",1.73016,1.31954,0.429063,0.473062
"E13.5","Bcat1",0.126974,0.0612487,0.137179,0.247919
"E13.5","Bche",0.00982672,0.0101748,0.0128626,0.00648448
"E13.5","Bcl11a",26.4153,13.3484,6.91667,6.58162
"E13.5","Bcl11b",6.06211,0.637513,2.78406,0.258833
"E13.5","Bcl2",0.0171312,0.0101223,0.00433846,0.00820336
"E13.5","Bcl2l11",1.117,0.859983,0.74129,0.331372
"E13.5","Bcl6",0.0515233,0.0204215,0.0173397,0.0136297
"E13.5","Bcl9",0.140676,0.105271,0.0773833,0.0470318
"E13.5","Bcor",1.42075,1.19032,1.11449,1.50361
"E13.5","Bcorl1",0.159431,0.116947,0.0780741,0.0954018
"E13.5","Bdnf",0.0738454,0.00856091,0.00744003,0.020814
"E13.5","Bhlha15",0.626487,0.253784,0.324252,0.190795
"E13.5","Bhlha9",0.229235,0.225864,0.0207998,0.0109524
"E13.5","Bhlhe22",9.92638,8.35791,0.957505,4.43371
"E13.5","Bhlhe23",0.06069097,0.011392145,0.006141895,1.31038
"E13.5","Bhlhe40",0.049488,0.103596,0.022019,0.0330639
"E13.5","Bhlhe41",0.0299109,0.0115695,0.0108904,0.0115099
"E13.5","Bicd1",0.0302065,0.0179935,0.0115261,0.0107197
"E13.5","Bmp1",0.110434,0.0207567,0.0135106,0.0198273
"E13.5","Bmp10",0.127038,0.0610978,0.0103584,0.0106653
"E13.5","Bmp15",0.693128,0.233346,0.0437061,0.0354272
"E13.5","Bmp2",0.00408586,0.00227111,0.0104177,0.00119399
"E13.5","Bmp3",0.187504,0.0944632,0.0224705,0.0130911
"E13.5","Bmp4",0.698827,0.166063,0.0964935,0.0951742
"E13.5","Bmp5",0.293079,0.320848,0.068925,0.371645
"E13.5","Bmp6",0.112828,0.200437,0.0710251,0.184087
"E13.5","Bmp7",0.248128,0.445353,0.138357,0.249103
"E13.5","Bmp8a",0.0118843,0.00389659,0.00502298,0.00323196
"E13.5","Bmpr1a",0.0647402,0.165892,0.106362,0.0308903
"E13.5","Bmpr1b",0.100577,0.0614954,0.00974974,0.0149205
"E13.5","Bmpr2",0.462493,0.402938,0.247016,0.134847
"E13.5","Bmyc",0.148646,0.0617557,0.0172742,0.0101888
"E13.5","Boc",0.13473,0.0250246,0.0115718,0.0300427
"E13.5","Bptf",7.61383,8.14079,5.10169,5.00954
"E13.5","Brpf3",0.0289707,0.0352594,0.0310542,0.0178364
"E13.5","Btbd11",0.217566,0.0772592,0.0831787,0.21843
"E13.5","Btc",0.00981236,0.00445004,0.00676407,0.00433598
"E13.5","Btf3",9.38446,6.35323,7.01753,10.1168
"E13.5","Btrc",0.158481,0.0339009,0.0221895,0.0187208
"E13.5","C1qa",0.361929,0.300997,0.366861,0.248221
"E13.5","C1qb",0.207197,0.298656,0.186166,0.168964
"E13.5","C1ql2",0.00511398,0.0117063,0.00666157,0.0537593
"E13.5","C230009H10Rik",0.0359058,0.107265,0.0963611,0.0746486
"E13.5","C4b",0.0184675,0.0966894,0.0401638,0.00809516
"E13.5","Cacna1a",0.0390645,0.0259484,0.0278202,0.0203573
"E13.5","Cacna1b",0.014878,0.0327494,0.0426639,0.00976264
"E13.5","Cacna1g",0.534432,0.833291,0.30098,0.815553
"E13.5","Cacna1h",0.321742,0.370319,0.555516,0.389059
"E13.5","Cacna2d1",0.710803,0.25474,0.0895886,0.107041
"E13.5","Cacna2d3",0.209202,0.206585,0.310936,0.331747
"E13.5","Cacng5",0.0171036,0.0103808,0.00904878,0.00175439
"E13.5","Cacng7",0.222727,0.0342797,0.0127498,0.0336292
"E13.5","Cadm1",4.6651,1.80916,4.64888,5.02671
"E13.5","Cadm3",1.49725,1.83174,1.35736,2.33388
"E13.5","Cadps2",0.0165977,0.0185401,0.0637153,0.0174216
"E13.5","Calb1",0.024145455,0.02823845,0.03464335,0.9056925
"E13.5","Calb2",0.5184932,0.326246,0.5489675,0.554258
"E13.5","Calca",0.0203545,0.0176203,0.0904969,0.0587892
"E13.5","Calcb",0.0387028,0.0417161,0.0214128,0.0144383
"E13.5","Calcr",0.146456,0.0442011,0.13507,0.0101769
"E13.5","Camk2a",0.0514097,0.182268,0.668439,0.0436815
"E13.5","Camk4",0.297861,0.0289743,0.0426393,0.0210806
"E13.5","Camta1",0.53444,0.252514,0.504286,0.206166
"E13.5","Camta2",0.0308222,0.0121474,0.0229058,0.0052502
"E13.5","Car10",0.0627846,0.0206186,0.0913107,0.0491975
"E13.5","Car2",1.12194,0.798419,0.714211,1.23278
"E13.5","Car3",0.0298659,0.0158044,0.0103467,0.0127775
"E13.5","Cartpt",0.0905901,0.0240219,0.00557541,0.0565903
"E13.5","Casp3",2.31532,2.49474,2.12529,3.4764
"E13.5","Cbfa2t2",14.8491,11.071,5.67265,8.04225
"E13.5","Cbln2",0.229644,0.170448,0.805028,8.82949
"E13.5","Cbln3",0.155095,0.0370614,0.0197092,0.00883858
"E13.5","Cbln4",0.218317,0.057806,0.0202377,0.0897371
"E13.5","Cck",0.00764901,0.0181126,0.0787203,0.00289509
"E13.5","Cckar",0.0363074,0.0076594,0.0150553,0.00656506
"E13.5","Ccng1",0.012325,0.00990639,0.010366,0.0170418
"E13.5","Cd109",0.0235772,0.0366389,0.0125378,0.00528641
"E13.5","Cd164",1.57859,1.50932,0.730991,0.301856
"E13.5","Cd24a",9.58937,5.50629,9.79187,5.49422
"E13.5","Cd44",0.0063176,0.0113508,0.0141018,0.00512353
"E13.5","Cd47",0.820836,0.462683,0.689296,8.78646
"E13.5","Cd59a",0.0603603,0.0199477,0.0104098,0.00541393
"E13.5","Cd9",0.121634,0.0820819,0.0525552,0.15182
"E13.5","Cdc42",4.10801,3.47845,1.75619,2.81028
"E13.5","Cdca7l",4.87881,4.45859,1.1979,0.428013
"E13.5","Cdh1",0.128236,0.0484786,0.00952751,0.0466503
"E13.5","Cdh10",0.0427358,0.0352376,0.0179281,0.00574083
"E13.5","Cdh11",1.74909,0.69622,0.359896,0.127064
"E13.5","Cdh12",0.067986,0.0355154,0.0374375,0.0393191
"E13.5","Cdh13",2.61862,0.24559,0.492365,0.282319
"E13.5","Cdh17",0.0204862,0.170614,0.00636744,0.178667
"E13.5","Cdh18",0.134917,0.0660541,0.0486639,0.0246126
"E13.5","Cdh2",0.877078,0.603322,1.26351,0.774512
"E13.5","Cdh20",0.0201803,0.011729,0.0560934,0.0327981
"E13.5","Cdh23",0.0697715,0.031185,0.08707,0.0966539
"E13.5","Cdh24",0.965131,0.564317,0.657497,0.941109
"E13.5","Cdh3",0.189737,0.0373196,0.0298414,0.0266881
"E13.5","Cdh4",0.1824531,0.06050645,0.0669817,0.02224335
"E13.5","Cdh5",4.45217,5.06705,3.66146,4.15898
"E13.5","Cdh6",0.639731,0.110607,0.275653,0.235454
"E13.5","Cdh7",0.143722,0.0534184,0.04211465,0.024882245
"E13.5","Cdh8",0.46511945,0.273883,1.1099355,2.237533
"E13.5","Cdh9",0.0569549,0.0267095,0.122843,0.0483322
"E13.5","Cdhr1",0.0174303,0.02081405,0.05432735,0.03871234
"E13.5","Cdhr5",0.143815,0.0729235,0.021281,0.0205247
"E13.5","Cdk5",0.0513716,0.0438488,0.0999094,0.064217
"E13.5","Cdk5r1",3.44124,2.29993,2.6872,2.24448
"E13.5","Cdon",6.81164,5.06499,0.296868,0.888583
"E13.5","Cds1",0.00807592,0.0059777,0.0119042,0.0370498
"E13.5","Cdx1",0.017747,0.00197233,0.0294294,0.0632077
"E13.5","Cdx2",0.0255787,0.00899301,0.0295423,0.0112866
"E13.5","Cdx4",0.168061,0.0502158,0.0584859,0.0234079
"E13.5","Cebpa",0.0606469,0.0277419,0.0231002,0.0137829
"E13.5","Cebpg",0.22445,0.29204,0.0672891,0.0814134
"E13.5","Celsr1",1.11509,1.17836,0.112301,0.114518
"E13.5","Celsr2",0.215409,0.140164,0.0653342,0.0681266
"E13.5","Celsr3",2.40155,1.89421,4.4824,3.36666
"E13.5","Cenpb",0.877081,0.970183,0.697528,0.890084
"E13.5","Cep110",5.51495,4.50459,4.09076,2.17669
"E13.5","Cerk",0.0891309,0.0941475,0.0694353,0.0657552
"E13.5","Cfc1",0.0278619,0.00440407,0.0102955,0.00431301
"E13.5","Cflar",0.0251648,0.0440156,0.0270049,0.039399
"E13.5","Chat",0.1731925,0.01902776,0.0339168,0.01367202
"E13.5","Chl1",0.731922,0.571299,2.36033,3.92056
"E13.5","Chrm1",0.0397666,0.0399467,0.162584,0.134561
"E13.5","Chrm2",0.0187212,0.0137491,0.011762,0.0063781
"E13.5","Chrm3",0.162132,0.48598,0.0268026,0.145471
"E13.5","Chrm4",0.0147298,0.00418995,0.0153123,0.00403603
"E13.5","Chrm5",0.0429802,0.00864685,0.0276334,0.00412056
"E13.5","Chrna2",0.0384017,0.0209241,0.0253269,0.00750642
"E13.5","Chrna3",0.0536585,0.0246349,0.0652996,0.0358433
"E13.5","Chrna4",0.095105,0.0985028,0.0379301,0.590677
"E13.5","Chrna5",0.118486,0.0235326,0.0221974,0.00978764
"E13.5","Chrna6",0.0608648,0.0232379,0.00413683,0.00461365
"E13.5","Chrna7",0.467825,0.0694802,0.0205933,0.00731166
"E13.5","Chrna9",0.0174672,0.0080663,0.0127147,0.0104167
"E13.5","Chrnb2",0.0281642,0.0454033,0.0462481,0.0783032
"E13.5","Chrnb3",0.043404,0.0155493,0.00322802,0.00229111
"E13.5","Chrnb4",0.00965531,0.0347343,0.0123438,0.015407
"E13.5","Chst2",0.0415209,0.0264061,0.0462495,0.187955
"E13.5","Churc1",0.0209641,0.055104,0.0114758,0.00891069
"E13.5","Cic",2.45091,2.20173,0.594333,0.69244
"E13.5","Cit",0.0708215,0.0197972,0.0121828,0.0271748
"E13.5","Cited1",0.998617,0.943831,0.268454,0.279672
"E13.5","Cited2",6.47075,5.76169,3.48031,2.89116
"E13.5","Clca2",0.018158,0.00776777,0.00530005,0.00228508
"E13.5","Clcn5",0.864193,0.771083,0.724849,0.228606
"E13.5","Cldn11",3.59113,5.52583,1.60124,3.36792
"E13.5","Cldn5",0.446259,0.418145,0.477307,0.788217
"E13.5","Clec7a",0.0408288,0.0478588,0.010595,0.0132768
"E13.5","Clock",0.156214,0.124762,0.172183,0.0905373
"E13.5","Clstn1",4.69996,2.89251,3.7567,3.63288
"E13.5","Clstn2",0.213443,0.067437,0.18339,0.0520249
"E13.5","Clu",0.382385,2.31406,0.298912,1.74284
"E13.5","Cnp",0.0112115,0.0109236,0.0106565,0.0144283
"E13.5","Cnr1",13.3656,6.39691,1.75627,3.07626
"E13.5","Cnr2",0.81668,0.143444,0.0850608,0.0588135
"E13.5","Cntn1",0.344748,0.205303,0.480104,0.234071
"E13.5","Cntn2",8.82508,2.88607,1.17048,3.77017
"E13.5","Cntn3",0.207041,0.0881407,0.247962,0.192997
"E13.5","Cntn6",0.0983402,0.152479,0.0190418,0.0536935
"E13.5","Cntnap4",0.03427635,0.02303805,0.02876085,0.0208417
"E13.5","Coch",0.0353767,0.0131758,0.0134181,0.00557253
"E13.5","Col11a1",5.27136,2.43027,2.52373,1.16224
"E13.5","Col11a2",0.112808,0.0482592,1.81422,0.0905053
"E13.5","Col12a1",4.08841,0.629197,1.17776,0.218493
"E13.5","Col13a1",0.413007,0.200061,0.513844,0.362726
"E13.5","Col14a1",0.622913,0.269568,0.271285,0.11653
"E13.5","Col15a1",1.25351,0.989794,0.439834,0.410575
"E13.5","Col16a1",5.88804,1.58487,1.18159,0.883769
"E13.5","Col18a1",5.40026,5.12472,3.14494,6.31324
"E13.5","Col1a1",6.50051,5.90065,2.50069,7.28695
"E13.5","Col23a1",0.481603,0.71691,0.305536,0.69702
"E13.5","Col24a1",0.201451,0.0398752,0.0404237,0.0342693
"E13.5","Col2a1",7.81067,7.77017,2.96878,6.92755
"E13.5","Col3a1",6.02262,9.56191,1.88677,5.25991
"E13.5","Col4a1",12.8943,9.52912,8.56869,10.5888
"E13.5","Col4a2",2.001,2.17044,1.02864,2.45664
"E13.5","Col4a5",0.910811,2.14129,0.286729,1.67553
"E13.5","Col5a1",4.09995,1.96035,1.55571,1.05198
"E13.5","Col5a2",2.78221,1.52017,0.913867,0.815878
"E13.5","Col6a1",0.552183,0.391876,0.111891,0.497934
"E13.5","Col8a1",0.268989,0.00903953,0.0432347,0.00881407
"E13.5","Col9a1",1.05446,0.687573,1.17957,0.270599
"E13.5","Col9a3",0.17507,0.0791377,0.259051,0.0328658
"E13.5","Comt",0.950809,0.845936,0.728479,0.822656
"E13.5","Copg2",1.91544,1.88142,1.65964,0.859166
"E13.5","Cort",0.00416134,0.00611545,0.00382439,0.0189739
"E13.5","Cotl1",9.01195,5.29093,1.58785,6.3834
"E13.5","Cox6a2",0.00923494,0.00258887,0.00204333,0.00561206
"E13.5","Cphx",0.218723,0.024387,0.0510414,0.0137658
"E13.5","Cpne2",0.0479981,0.125403,0.0817971,0.129431
"E13.5","Cpne7",0.163466,0.0661114,0.0219176,0.0208496
"E13.5","Creb1",0.748838,0.389364,0.226362,0.181989
"E13.5","Creb3",0.0986368,0.031297,0.0139516,0.014756
"E13.5","Creb3l1",0.541807,0.393478,0.388723,0.10177
"E13.5","Creb3l2",0.0922869,0.0844645,0.206509,0.10402
"E13.5","Creb3l3",0.207761,0.0491611,0.0854386,0.0362557
"E13.5","Creb3l4",0.0136651,0.00753543,0.0556682,0.00367308
"E13.5","Crebbp",1.71347,1.07207,0.913183,1.11501
"E13.5","Crebzf",5.95828,5.43632,5.67959,7.60607
"E13.5","Crh",0.096202,0.00998765,0.00594227,0.00618208
"E13.5","Crhr1",0.0139302,0.00638146,0.015792,0.00914358
"E13.5","Crhr2",0.114928,0.029679,0.0100433,0.0069457
"E13.5","Crlf1",0.160874,0.067277,0.015558,0.020565
"E13.5","Crtac1",0.0561379,0.0205091,0.0240798,0.0349459
"E13.5","Crx",0.346479,0.140407,0.072354,0.0455085
"E13.5","Crxos1",0.0316611,0.0281696,0.0221158,0.0118455
"E13.5","Crym",0.419713,0.496886,0.174216,0.429509
"E13.5","Csdc2",0.6907,0.793373,1.31537,0.270337
"E13.5","Csf1",0.0985205,0.0426263,0.0305239,0.0297842
"E13.5","Csf1r",1.2876,1.24038,0.910503,1.33541
"E13.5","Csnk1a1",1.35409,1.85344,1.10418,0.740007
"E13.5","Csnk1d",2.2586,2.4962,1.91146,1.75508
"E13.5","Csnk1e",2.78216,2.71653,1.77028,2.02634
"E13.5","Csnk1g1",0.129105,0.0340575,0.0329121,0.0167113
"E13.5","Csnk1g2",0.0391696,0.0356398,0.0265365,0.0220461
"E13.5","Csnk2a1",4.74124,2.93474,1.91049,1.78769
"E13.5","Csnk2a2",0.118361,0.057503,0.0180637,0.0222927
"E13.5","Csnk2b",1.39312,1.16362,0.39211,0.291375
"E13.5","Cst3",0.289204,0.320326,0.192684,0.220919
"E13.5","Ctbp2",0.235364,0.342807,0.130301,0.0642894
"E13.5","Ctcfl",14.9499,13.4574,18.7767,20.0776
"E13.5","Ctgf",0.445811,0.199538,0.258832,0.159609
"E13.5","Ctnnb1",17.984,10.2624,5.91869,7.63461
"E13.5","Ctnnbip1",0.0398019,0.0348344,0.0237334,0.0130591
"E13.5","Ctnnd1",0.484347,0.633779,0.287309,0.312349
"E13.5","Ctso",0.0933262,0.0498004,0.00627658,0.0241251
"E13.5","Ctsr",0.0208283,0.0066483,0.0244311,0.00455919
"E13.5","Ctss",0.0524112,0.0319029,0.0411494,0.037997
"E13.5","Cttnbp2",1.01428,0.597814,0.262223,0.810048
"E13.5","Cux1",0.462968,0.247032,0.183719,0.113398
"E13.5","Cux2",0.943607,0.306316,1.67634,0.706424
"E13.5","Cx3cl1",0.605727,0.268223,0.118892,0.0704207
"E13.5","Cxcl12",0.899833,2.84403,3.5491,1.098
"E13.5","Cxcr4",0.676957,1.37499,0.427683,1.17664
"E13.5","Cxxc4",0.593089,0.63828,0.156848,0.37016
"E13.5","Cyc1",0.565569,0.813951,0.287882,0.0706351
"E13.5","Cyp19a1",0.00966128,0.0174896,0.0185161,0.00781954
"E13.5","Cyp26b1",0.13745,0.146471,0.897265,0.169458
"E13.5","Cyp39a1",0.0192778,0.0302958,0.0120834,0.00936954
"E13.5","Cyp7b1",0.309672,0.161691,0.0262607,0.0452528
"E13.5","Cyr61",0.0664454,0.0320287,0.112509,0.0342077
"E13.5","D630021H01Rik",0.057017,0.00657813,0.0563923,0.00362521
"E13.5","Daam1",1.5185,1.59743,2.34269,1.78631
"E13.5","Daam2",1.04626,0.991645,1.12571,1.02021
"E13.5","Dab1",10.3279,5.92125,5.69329,5.11478
"E13.5","Dach1",3.86708,10.7467,0.583672,2.40938
"E13.5","Dach2",0.0853584,0.017850485,0.02236405,0.02822379
"E13.5","Dact1",0.274224,0.0519069,0.228722,0.0442885
"E13.5","Dbh",0.0554015,0.0177603,0.0133711,0.016655
"E13.5","Dbi",17.209,7.98031,10.7706,3.60661
"E13.5","Dbp",0.0860434,0.0964156,0.0571987,0.0259177
"E13.5","Dbx1",0.1897643,0.26493135,0.02508515,1.3679405
"E13.5","Dbx2",0.227965,0.13733,0.229036,0.129894
"E13.5","Dcaf7",0.263878,0.335986,0.358407,0.307729
"E13.5","Dcc",0.785163,0.855988,0.375766,0.741839
"E13.5","Dcn",3.00809,2.49808,1.56812,1.283
"E13.5","Dcun1d1",0.100026,0.017615,0.00637847,0.0175727
"E13.5","Dcun1d3",0.0567167,0.028476,0.0177351,0.0101366
"E13.5","Dcun1d4",0.00656058,0.0118876,0.0111771,0.0165545
"E13.5","Dcun1d5",0.271756,0.279597,0.0708013,0.0562346
